Ref,FCF number,Scientific name,Common name,Short name,Other names,Latitude,Longitude,Notes,Year planted,Est. year planted,Est. age,Year died,Tag,Cemetery section,Form,Condition,Height,Described,Social media,Tree tag,Water point,Map link,Photo link,Short URL,Wikipedia
4803.2159,,Acer negundo,Boxelder maple,Maple,"Box elder, Manitoba maple, ash-leaved maple",51.4803383,-0.215956,"Box elder, aka boxelder maple, Manitoba maple or ash-leaved maple",,,,,Highlight,6A,,,,,,,,http://maps.google.com/maps?z=12&t=k&q=loc:51.4803383+-0.215956,https://mymaps.usercontent.google.com/hostedimage/m/*/3AL_Y2X5PwaZwcQT5gVmgyPRlaDp_GoVBtevzxIKv8d9L_TqgH5vD0-F16ow1J5sIYDdvylTZO3Eclyo6-_ljJLRPt8f0GHBYBDDcWSFXVTwk-JAEatYXgI-8yVW5EBSiEdxDfg1ETW_al_4veWtpuJZw-cYna8XiJtdCvGYFcp4Mv4ofX9P6DVeGAU2VKH9SMNmhN_IF33vp7jzw-0XhoqtInjxaY84W2CpKJPyumX62GpdsOGAOJnMZcVpux24?authuser=0&fife=s16383,,
4816.2168,,Acer platanoides,Norway maple,Maple,,51.48161,-0.21683,,2024,,,,New 2024,3,,,,Yes,,Done,3 - Furthest,http://maps.google.com/maps?z=12&t=k&q=loc:51.48161+-0.21683,https://photos.google.com/share/AF1QipMmMA8Yz6PSQdo2PU6gMmVbbn2FB0uZvrC_SehQLkNa9ULODhBstNqMOLrKeK0N4Q/photo/AF1QipMQ-3AlIpZ6Up0Xp2DihLkg-y9-fT9AmBmzpySU?key=UzB5ejd5RllRaXgxY1dRYlYyV1dKUnJVZHJLRTBn,schwedleri-1.fulhamcemeteryfriends.org.uk,https://en.wikipedia.org/wiki/Acer_platanoides
4812.2163,,Acer platanoides 'Globosum',Globe maple,Maple,,51.4812476,-0.2163676,,,,,,,2,,,,,,,,http://maps.google.com/maps?z=12&t=k&q=loc:51.4812476+-0.2163676,,,
4813.2162,,Acer platanoides 'Globosum',Globe maple,Maple,,51.481336,-0.2162522,,,,,,,"2, 2B",,,,,,,,http://maps.google.com/maps?z=12&t=k&q=loc:51.481336+-0.2162522,,,
4806.2162,schwedleri-1,Acer platanoides 'Schwedleri',Purple maple,Maple,,51.4806651,-0.216238,Probably planted in the 1980s. Schwedleri or Crimson King,,1985,,,Highlight,6,,,,,,,,http://maps.google.com/maps?z=12&t=k&q=loc:51.4806651+-0.216238,https://mymaps.usercontent.google.com/hostedimage/m/*/3AL_Y2X7ZntBtMidBIiFOjJV_sgdbBsBTkia2CMW988D7M9oy3q4sYLgcYuoHLnZ6FWCvDt1NJdt5tPgeaRuMqpx_s8ZDAjZiElbQSeNHoWO36WAT-qgYM0RKLDNwOp9-uKY0eZjtg8-TpQavBs2ATo5olQDFmRMKHhQUDcbgHubLciNz2RQdUFlbtwOxqWRZHd_5GdOILXIqNR4qRdpxH6SV9B_1N1mFMgFH9fhRJ6jc4w2iwNEle13V-rxON_Y?authuser=0&fife=s16383,,
4809.2141,,Acer platanoides 'Schwedleri',Purple maple,Maple,,51.4809821,-0.2141045,"Probably also Norway maple 'Schwedleri', probably planted at same time as other one.Very large, but pollarded.",,1985,,,,14,,,,,,,,http://maps.google.com/maps?z=12&t=k&q=loc:51.4809821+-0.2141045,https://mymaps.usercontent.google.com/hostedimage/m/*/3AL_Y2X69ajcZPL225-2S0jvoIAQe6oFEzRktnZhcvcqvqXIRfl_CxoPb8wszckdJl5GsxOA-fY-bDsJrgKGx0LPjhPIbr20GxJHTQqsC2fQZ8AdNq-6_a2RKplArEqsf6sReppnxWqvjyNR167IP_ql3EXDbWSkrgxa6YjZRs77wFHORQ2U644M_WngIjJ4_otYnoROyCDlKlyihpu-7uc9MBGkyR8EHYaGtALB24Mx9odAScBClq30bMfugXWQ?authuser=0&fife=s16383,,
4792.2157,maple-1,Acer pseudoplatanus,Sycamore,Sycamore,,51.47924,-0.21572,Visible in 1940 aerial photo,,,,,"Highlight, Veteran","12, 12A",,,,Yes,,Done,,http://maps.google.com/maps?z=12&t=k&q=loc:51.47924+-0.21572,,maple-1.fulhamcemeteryfriends.org.uk,
4791.2160,,Acer pseudoplatanus,Sycamore,Sycamore,,51.47914,-0.21602,Visible in 1940 aerial photo,,,,,"Highlight, Veteran",11,,,,Yes,,Done,,http://maps.google.com/maps?z=12&t=k&q=loc:51.47914+-0.21602,,maple-1.fulhamcemeteryfriends.org.uk,
4811.2138,,Acer pseudoplatanus,Sycamore,Sycamore,,51.4811628,-0.2138734,,,,,,,15,,,,,,,,http://maps.google.com/maps?z=12&t=k&q=loc:51.4811628+-0.2138734,,,
4811.2136,,Acer pseudoplatanus,Sycamore,Sycamore,,51.4811144,-0.2136593,,,,,,,14,,,,,,,,http://maps.google.com/maps?z=12&t=k&q=loc:51.4811144+-0.2136593,,,
